WeatherPy_Database,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
628,Monster,NL,52.0258,4.175,61.99,79,3,9.22,clear sky
629,Abu Samrah,SY,35.3029,37.1841,76.69,36,0,5.21,clear sky
630,Puerto Berrio,CO,6.4916,-74.4033,87.69,56,93,2.91,overcast clouds
631,Mirador,BR,-6.3708,-44.3631,87.24,24,5,5.06,clear sky
632,Dandong,CN,40.1292,124.3947,63.64,95,100,3.83,overcast clouds
633,Ballina,AU,-28.8667,153.5667,55.78,99,100,6.96,light rain
634,Guerande,FR,47.3291,-2.4283,62.46,97,100,13.67,overcast clouds
635,Kidal,ML,18.4411,1.4078,79.25,60,100,15.7,light rain
636,Mobaye,CF,4.319,21.1786,72.28,92,21,1.32,few clouds
637,Gari,RU,59.4307,62.3497,29.53,85,91,7.45,overcast clouds
638,Juneau,US,58.3019,-134.4197,55.4,67,75,3.44,light rain
639,Pizarro,CO,4.9533,-77.366,77.59,85,100,6.33,overcast clouds
640,Okhotsk,RU,59.3833,143.3,32.59,60,10,11.41,clear sky
641,Poum,NC,-20.2333,164.0167,73.58,64,57,9.66,broken clouds
642,Mustasaari,FI,63.1142,21.6822,46.89,93,40,5.75,scattered clouds
643,Tilichiki,RU,60.4667,166.1,33.69,97,99,4.38,light snow
644,Brainerd,US,46.358,-94.2008,66.45,33,78,10.42,broken clouds
645,Sibu,MY,2.3,111.8167,77.31,100,40,1.14,scattered clouds
646,Bolong,PH,7.0983,122.2392,79.52,82,48,2.08,moderate rain
647,Quatre Cocos,MU,-20.2078,57.7625,71.71,66,84,14.18,broken clouds
648,Tagusao,PH,9.1924,117.8141,79.07,84,49,3.53,scattered clouds
649,Borovskoy,KZ,53.8,64.15,33.04,44,19,8.14,few clouds
650,Qingdao,CN,36.0986,120.3719,71.2,100,100,8.95,moderate rain
651,Jiuquan,CN,39.7432,98.5174,43.45,24,99,16.08,overcast clouds
652,Magdalena,PH,14.1999,121.429,75.79,93,77,3.91,broken clouds
653,Port Hedland,AU,-20.3167,118.5667,73.45,78,75,9.22,broken clouds
654,Ayorou,NE,14.7308,0.9174,90.61,42,22,9.4,few clouds
655,Rio Grande City,US,26.3798,-98.8203,93.11,29,0,11.05,clear sky
656,Kemise,ET,10.7167,39.8667,68.38,64,70,5.28,broken clouds
657,Campbeltown,GB,55.4258,-5.6076,55.45,78,19,22.06,light rain
658,Loubomo,CG,-4.1997,12.6739,72.14,90,67,5.97,broken clouds
659,Klaksvik,FO,62.2266,-6.589,50.92,90,100,20.67,light rain
660,Kingaroy,AU,-26.5333,151.8333,53.64,100,100,8.05,overcast clouds
661,Port Augusta,AU,-32.5,137.7667,56.66,58,100,2.28,overcast clouds
662,Avera,US,33.194,-82.5271,78.39,39,33,7.94,scattered clouds
663,Vasilyevskiy Mokh,RU,57.0132,35.919,47.75,99,100,5.08,moderate rain
664,Uttaradit,TH,17.6667,100.5,70.93,100,100,1.21,overcast clouds
665,Azare,NG,11.6765,10.1948,77.41,65,98,8.37,light rain
666,Udachnyy,RU,66.4167,112.4,20.61,97,97,5.64,overcast clouds
667,Fort Nelson,CA,58.8053,-122.7002,51.39,76,100,0.0,overcast clouds
668,Menongue,AO,-14.6585,17.691,68.36,21,7,5.93,clear sky
669,Kangaatsiaq,GL,68.3065,-53.4641,34.57,74,67,2.68,broken clouds
670,Jeremoabo,BR,-10.075,-38.4808,78.93,52,14,14.14,few clouds
671,Livingston,GB,55.9029,-3.5226,51.85,84,0,9.22,clear sky
672,Misratah,LY,32.3754,15.0925,78.66,82,47,21.52,scattered clouds
673,Yar-Sale,RU,66.8333,70.8333,33.12,72,99,14.61,overcast clouds
674,Rzhyshchiv,UA,49.9689,31.0463,59.38,90,100,5.3,light rain
675,General Roca,AR,-39.0333,-67.5833,81.63,23,0,9.82,clear sky
676,Micomeseng,GQ,2.1462,10.6164,68.41,99,100,2.42,overcast clouds
677,Adrar,MR,20.5022,-10.0711,85.32,23,0,7.25,clear sky
678,Byron Bay,AU,-28.65,153.6167,55.71,88,100,9.46,overcast clouds
679,San Felipe,VE,10.3399,-68.7425,87.44,52,20,5.59,few clouds
680,Bilma,NE,18.6853,12.9164,93.65,19,3,5.03,clear sky
681,Puerto Colombia,CO,10.9878,-74.9547,84.29,77,100,8.99,overcast clouds
682,Shache,CN,38.4167,77.2406,68.2,25,100,2.98,overcast clouds
683,Mulege,MX,26.8833,-111.9833,89.46,49,0,10.04,clear sky
684,Uyuni,BO,-20.4597,-66.825,60.06,19,20,13.0,few clouds
685,Bouza,NE,14.4229,6.0428,89.28,41,17,4.92,few clouds
686,Wattegama,LK,6.7989,81.4808,77.02,76,97,8.28,overcast clouds
687,Houston,US,29.7633,-95.3633,88.3,33,0,5.99,clear sky
688,Dicabisagan,PH,17.0818,122.4157,77.49,90,98,4.9,moderate rain
689,Elko,US,41.0002,-115.5012,64.63,30,44,7.0,scattered clouds
690,Sao Felix Do Xingu,BR,-6.6447,-51.995,84.34,50,99,3.22,overcast clouds
691,Tambopata,PE,-12.7333,-69.1833,89.49,43,0,3.44,clear sky
