City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
639,Sur,OM,77.43,clear sky,22.5667,59.5289,Sur Plaza Hotel
640,Garissa,KE,71.37,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
641,Banjar,ID,83.93,overcast clouds,-8.19,114.9675,The Hamsa Resort
646,Parrita,CR,78.89,broken clouds,9.5201,-84.3225,Beso del Viento
648,Alta Floresta,BR,73.08,light rain,-9.8756,-56.0861,Floresta Amazonica Hotel
650,Ukiah,US,83.44,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
651,Blythe,US,84.65,broken clouds,33.6103,-114.5964,Rodeway Inn & Suites
652,Tchaourou,BJ,71.29,broken clouds,8.8865,2.5975,SAFIR HOTEL
654,Ishikawa,JP,84.16,broken clouds,26.4233,127.8214,Sheraton Okinawa Sunmarina Resort
655,Bitung,ID,83.25,broken clouds,1.4451,125.1824,K2 Lembeh
660,Savannah Bight,HN,82.2,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
662,Lufilufi,WS,85.78,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
664,Rudbar,AF,70.97,clear sky,30.15,62.6,
665,Kumluca,TR,75.11,clear sky,36.3703,30.2869,Akkol Apart
670,Robertsport,LR,76.28,broken clouds,6.7533,-11.3686,Kwepunha Retreat
674,Kudahuvadhoo,MV,81.59,light rain,2.6708,72.8944,Niyama Private Islands Maldives
675,Mayor Pablo Lagerenza,PY,72.01,clear sky,-19.9309,-60.7718,
676,Chumphon,TH,77.36,overcast clouds,10.3333,98.8333,สกาน จ๋า.
677,Hat Yai,TH,78.98,scattered clouds,7.0084,100.4767,New Season Hotel
679,Banda Aceh,ID,82.69,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
684,Phangnga,TH,78.84,overcast clouds,8.4509,98.5298,Sunimit Mansion
686,Caravelas,BR,75.2,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
